time,value
2026-06-17T13:07:36.741172534Z,89
2026-06-17T13:07:38.817982851Z,91
2026-06-17T13:07:46.741284585Z,89
2026-06-17T13:07:48.815194846Z,90
2026-06-17T13:07:50.731625985Z,88
2026-06-17T13:07:52.733272344Z,91
2026-06-17T13:07:54.730823197Z,88
2026-06-17T13:07:56.728159768Z,90
2026-06-17T13:07:58.77829187Z,89
2026-06-17T13:08:02.730203937Z,88
2026-06-17T13:08:04.732324726Z,89
2026-06-17T13:08:06.731780641Z,87
2026-06-17T13:08:08.73361173Z,86
2026-06-17T13:08:10.729552895Z,88
2026-06-17T13:08:12.728904019Z,89
2026-06-17T13:08:14.895453097Z,88
2026-06-17T13:08:18.808297909Z,89
2026-06-17T13:08:22.806813693Z,90
2026-06-17T13:08:24.932269959Z,88
2026-06-17T13:08:30.614008604Z,89
2026-06-17T13:08:30.836674653Z,87
2026-06-17T13:08:32.881899168Z,88
2026-06-17T13:08:38.835738999Z,87
2026-06-17T13:08:40.825125309Z,86
2026-06-17T13:08:42.835430403Z,88
2026-06-17T13:08:46.777080396Z,89
2026-06-17T13:08:48.73077549Z,88
2026-06-17T13:08:52.736609247Z,87
2026-06-17T13:08:54.728735662Z,89
2026-06-17T13:08:56.732326166Z,86
2026-06-17T13:08:58.739684712Z,88
2026-06-17T13:09:00.728405783Z,87
2026-06-17T13:09:02.792234367Z,88
2026-06-17T13:09:04.73135107Z,86
2026-06-17T13:09:06.733109748Z,87
2026-06-17T13:09:08.731448052Z,86
2026-06-17T13:09:10.90181714Z,87
2026-06-17T13:09:12.903886958Z,88
2026-06-17T13:09:14.920155568Z,90
2026-06-17T13:09:18.418716525Z,87
2026-06-17T13:09:18.811083604Z,86
2026-06-17T13:09:20.821233706Z,88
2026-06-17T13:09:22.814852008Z,87
2026-06-17T13:09:26.815025939Z,89
2026-06-17T13:09:28.730467507Z,88
2026-06-17T13:09:38.729435456Z,89
2026-06-17T13:09:40.727511014Z,87
2026-06-17T13:09:44.729587725Z,86
2026-06-17T13:09:48.73460821Z,87
2026-06-17T13:09:50.729006609Z,86
2026-06-17T13:09:54.731277685Z,90
2026-06-17T13:09:56.733581273Z,87
2026-06-17T13:09:58.729677461Z,85
2026-06-17T13:10:00.734685541Z,88
2026-06-17T13:10:02.742325273Z,86
2026-06-17T13:10:04.728339721Z,87
2026-06-17T13:10:06.732069563Z,86
2026-06-17T13:10:08.733692667Z,88
2026-06-17T13:10:14.732468366Z,87
2026-06-17T13:10:16.728453094Z,88
2026-06-17T13:10:20.738256925Z,87
2026-06-17T13:10:22.738364693Z,88
2026-06-17T13:10:32.727465443Z,89
2026-06-17T13:10:34.731491013Z,88
2026-06-17T13:10:38.734949726Z,89
2026-06-17T13:10:40.729315759Z,88
2026-06-17T13:10:42.730069845Z,87
2026-06-17T13:10:44.729653053Z,89
2026-06-17T13:10:46.731901686Z,88
2026-06-17T13:10:50.727049104Z,89
2026-06-17T13:10:52.731897776Z,88
2026-06-17T13:10:58.7279907Z,87
2026-06-17T13:11:02.728607385Z,90
2026-06-17T13:11:04.731953185Z,89
